"Time","Handle/0/X","Handle/0/Y","Shoulder/0/X","Shoulder/0/Y","Seat/0/X","Seat/0/Y"
"2.719","85.6239","-11.00192","303.5125","107.7981","287.8915","-156.678"
"2.728","89.62225","-11.008","307.5093","106.8196","288.8896","-156.6953"
"2.736","93.62396","-11.99667","311.5063","106.8099","288.89","-156.7134"
"2.744","100.6229","-12.99658","315.5038","105.8195","288.8924","-156.7325"
"2.753","106.6238","-13.9744","319.5018","104.8416","289.8878","-156.7437"
"2.761","111.6298","-13.97418","322.501","103.8623","289.8835","-156.7528"
"2.769","119.6351","-13.97528","325.5003","102.8727","289.8804","-156.7596"
"2.778","125.631","-14.00677","328.5013","101.8648","289.8765","-156.7631"
"2.786","131.6268","-13.98892","332.5011","99.88379","289.8702","-156.7622"
"2.794","138.6219","-14.99966","335.5024","98.88318","288.871","-156.7633"
"2.803","143.6243","-15.01904","338.5032","97.87384","288.8696","-156.7621"
"2.811","150.618","-14.99414","341.5031","95.8793","288.8668","-156.7594"
"2.819","156.619","-16.00198","344.5034","94.87231","285.8671","-156.7747"
"2.828","162.6214","-15.98242","347.5037","92.87708","285.8665","-156.79"
"2.836","168.6219","-17.00208","350.5041","91.86655","284.8686","-156.8145"
"2.845","174.622","-17.01065","353.5037","89.86523","284.8705","-156.8395"
"2.853","178.6248","-18.0065","356.5042","87.8764","284.8724","-156.8669"
"2.861","184.6238","-18.99887","358.5046","86.87854","285.8715","-156.8915"
"2.87","193.6235","-20.0144","360.5056","85.87177","285.8701","-156.9174"
"2.878","197.6228","-20.02325","362.5076","83.87854","285.8691","-156.9442"
"2.886","205.6196","-21.01254","364.5084","82.87421","285.8694","-156.9733"
"2.895","211.6163","-21.99557","367.5063","80.88269","285.869","-157.0014"
"2.903","217.6147","-23.00323","368.5076","79.88809","285.869","-156.0283"
"2.911","224.6138","-22.01895","370.5057","78.8895","285.8688","-156.0536"
"2.92","228.6154","-22.03082","371.5051","77.88684","285.8685","-156.0783"
"2.928","235.6168","-23.01413","372.5045","76.88254","285.868","-156.1032"
"2.936","242.6143","-23.0087","373.5044","75.87836","284.8691","-156.1311"
"2.945","247.6185","-23.00558","374.5036","74.87579","284.869","-156.1586"
"2.953","253.6143","-22.99817","374.5054","73.8754","284.8687","-156.1826"
"2.961","261.6125","-23.99017","375.5057","72.88123","284.8674","-156.2062"
"2.97","266.6144","-23.98297","375.507","72.87039","283.8694","-156.2355"
"2.978","272.6167","-22.987","375.5088","71.86984","283.8718","-156.2657"
"2.986","278.6197","-22.97534","375.5101","70.87527","283.8724","-156.2937"
"2.995","284.6207","-21.97946","376.5082","70.86761","283.8732","-156.3246"
"3.003","291.6194","-20.98096","375.509","69.87582","283.8726","-156.3538"
"3.011","297.62","-20.97964","375.5094","69.87537","282.8744","-156.3889"
